n_ops, s_size, gpu, cpu
65536,20000,3.68e-05,5.9264e-05
65536,20000,3.6992e-05,7.9712e-05
65536,20000,3.552e-05,5.8688e-05
65536,20000,3.4656e-05,5.6128e-05
65536,20000,3.7088e-05,0.000107648
65536,20000,3.4624e-05,5.888e-05
65536,20000,3.472e-05,8.0416e-05
65536,20000,3.6608e-05,7.2992e-05
65536,20000,3.6096e-05,5.9328e-05
65536,20000,3.3568e-05,5.8624e-05
65536,200000,0.000282688,5.7088e-05
65536,200000,0.000164416,5.4432e-05
65536,200000,0.000166272,5.7792e-05
65536,200000,0.000162784,5.7376e-05
65536,200000,0.000169824,5.7376e-05
65536,200000,0.000163136,5.7696e-05
65536,200000,0.000164576,5.4144e-05
65536,200000,0.000163296,5.7376e-05
65536,200000,0.00016416,5.6e-05
65536,200000,0.000170592,5.8208e-05
131072,2000,2.8672e-05,0.000113536
131072,2000,2.4544e-05,0.000114048
131072,2000,2.48e-05,0.00011392
131072,2000,2.368e-05,0.00015808
131072,2000,2.4992e-05,0.000116
131072,2000,2.5952e-05,0.000115968
131072,2000,2.8992e-05,0.00011504
131072,2000,2.512e-05,0.000107712
131072,2000,2.4576e-05,0.000108352
131072,2000,2.4288e-05,0.000114016
131072,20000,3.5968e-05,0.000113952
131072,20000,3.5456e-05,0.000115488
131072,20000,3.5616e-05,0.00010752
131072,20000,3.6864e-05,0.00011424
131072,20000,3.4784e-05,0.000101024
131072,20000,3.4688e-05,0.000143104
131072,20000,3.5296e-05,0.00015248
131072,20000,3.4944e-05,0.0001168
131072,20000,3.6832e-05,0.000157184
131072,20000,3.488e-05,0.000117216
131072,200000,0.000274624,0.000159104
131072,200000,0.000166336,0.00013824
131072,200000,0.000170368,0.00016096
131072,200000,0.000163424,0.000156832
131072,200000,0.000162368,0.000141312
131072,200000,0.000163968,0.00011024
131072,200000,0.000171104,0.000132672
131072,200000,0.000163936,0.000116256
131072,200000,0.000172576,0.000152768
131072,200000,0.000171136,0.0001072
262144,2000,2.8896e-05,0.000253312
262144,2000,2.6336e-05,0.000291744
262144,2000,2.3776e-05,0.000224224
262144,2000,2.368e-05,0.000224192
262144,2000,2.4704e-05,0.00021808
262144,2000,2.5344e-05,0.00025632
262144,2000,2.496e-05,0.00027536
262144,2000,2.3904e-05,0.000244096
262144,2000,2.4288e-05,0.000259136
262144,2000,2.4832e-05,0.00021552
262144,20000,3.5712e-05,0.000219712
262144,20000,3.5648e-05,0.000219168
262144,20000,3.6608e-05,0.00026704
262144,20000,3.5808e-05,0.000214304
262144,20000,3.456e-05,0.000230848
262144,20000,8.0992e-05,0.000227392
262144,20000,3.7504e-05,0.000291968
262144,20000,3.6288e-05,0.000229952
262144,20000,0.001136192,0.00024368
262144,20000,0.000875648,0.000232256
262144,200000,0.000392736,0.000242752
262144,200000,0.000221504,0.000262112
262144,200000,0.000164,0.000219008
262144,200000,0.000162912,0.000257696
262144,200000,0.000162656,0.000326624
262144,200000,0.000164352,0.000229376
262144,200000,0.00019392,0.000328832
262144,200000,0.000162016,0.000224832
262144,200000,0.000236288,0.000221408
262144,200000,0.000164256,0.000218176
524288,2000,2.8896e-05,0.000456192
524288,2000,2.7072e-05,0.000656544
524288,2000,2.5984e-05,0.000543872
524288,2000,2.4832e-05,0.00043696
524288,2000,2.5472e-05,0.000559648
524288,2000,2.496e-05,0.000431136
524288,2000,2.5632e-05,0.000441984
524288,2000,2.4992e-05,0.000435232
524288,2000,2.4224e-05,0.000453536
524288,2000,2.3936e-05,0.000428832
524288,20000,3.6288e-05,0.000430592
524288,20000,3.7152e-05,0.0004576
524288,20000,3.5104e-05,0.000643264
524288,20000,3.456e-05,0.000427872
